Id,MSSubClass,MSZoning,LotArea,Street,Utilities,BldgType,OverallQual,OverallCond,BsmtQual,YearBuilt,ExterQual,ExterCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GarageCars,GarageCond,SalePrice
1,60,RL,8450,Pave,AllPub,1Fam,7,5,Gd,2003,Gd,TA,856.0,GasA,856,854,2.0,TA,208500.0
2,20,RL,9600,Pave,AllPub,1Fam,6,8,Gd,1976,TA,TA,1262.0,GasA,1262,0,2.0,TA,181500.0
3,60,RL,11250,Pave,AllPub,1Fam,7,5,Gd,2001,Gd,TA,920.0,GasA,920,866,2.0,TA,223500.0
4,70,RL,9550,Pave,AllPub,1Fam,7,5,TA,1915,TA,TA,756.0,GasA,961,756,3.0,TA,140000.0
5,60,RL,14260,Pave,AllPub,1Fam,8,5,Gd,2000,Gd,TA,1145.0,GasA,1145,1053,3.0,TA,250000.0
6,50,RL,14115,Pave,AllPub,1Fam,5,5,Gd,1993,TA,TA,796.0,GasA,796,566,2.0,TA,143000.0
7,20,RL,10084,Pave,AllPub,1Fam,8,5,Ex,2004,Gd,TA,1686.0,GasA,1694,0,2.0,TA,307000.0
8,60,RL,10382,Pave,AllPub,1Fam,7,6,Gd,1973,TA,TA,1107.0,GasA,1107,983,2.0,TA,200000.0
9,50,RM,6120,Pave,AllPub,1Fam,7,5,TA,1931,TA,TA,952.0,GasA,1022,752,2.0,TA,129900.0
10,190,RL,7420,Pave,AllPub,2fmCon,5,6,TA,1939,TA,TA,991.0,GasA,1077,0,1.0,TA,118000.0
11,20,RL,11200,Pave,AllPub,1Fam,5,5,TA,1965,TA,TA,1040.0,GasA,1040,0,1.0,TA,129500.0
12,60,RL,11924,Pave,AllPub,1Fam,9,5,Ex,2005,Ex,TA,1175.0,GasA,1182,1142,3.0,TA,345000.0
13,20,RL,12968,Pave,AllPub,1Fam,5,6,TA,1962,TA,TA,912.0,GasA,912,0,1.0,TA,144000.0
14,20,RL,10652,Pave,AllPub,1Fam,7,5,Gd,2006,Gd,TA,1494.0,GasA,1494,0,3.0,TA,279500.0
15,20,RL,10920,Pave,AllPub,1Fam,6,5,TA,1960,TA,TA,1253.0,GasA,1253,0,1.0,TA,157000.0
16,45,RM,6120,Pave,AllPub,1Fam,7,8,TA,1929,TA,TA,832.0,GasA,854,0,2.0,TA,132000.0
17,20,RL,11241,Pave,AllPub,1Fam,6,7,TA,1970,TA,TA,1004.0,GasA,1004,0,2.0,TA,149000.0
18,90,RL,10791,Pave,AllPub,Duplex,4,5,,1967,TA,TA,0.0,GasA,1296,0,2.0,TA,90000.0
19,20,RL,13695,Pave,AllPub,1Fam,5,5,TA,2004,TA,TA,1114.0,GasA,1114,0,2.0,TA,159000.0
20,20,RL,7560,Pave,AllPub,1Fam,5,6,TA,1958,TA,TA,1029.0,GasA,1339,0,1.0,TA,139000.0
21,60,RL,14215,Pave,AllPub,1Fam,8,5,Ex,2005,Gd,TA,1158.0,GasA,1158,1218,3.0,TA,325300.0
22,45,RM,7449,Pave,AllPub,1Fam,7,7,TA,1930,TA,TA,637.0,GasA,1108,0,1.0,TA,139400.0
23,20,RL,9742,Pave,AllPub,1Fam,8,5,Gd,2002,Gd,TA,1777.0,GasA,1795,0,2.0,TA,230000.0
24,120,RM,4224,Pave,AllPub,TwnhsE,5,7,Gd,1976,TA,TA,1040.0,GasA,1060,0,2.0,TA,129900.0
25,20,RL,8246,Pave,AllPub,1Fam,5,8,TA,1968,TA,Gd,1060.0,GasA,1060,0,1.0,TA,154000.0
26,20,RL,14230,Pave,AllPub,1Fam,8,5,Gd,2007,Gd,TA,1566.0,GasA,1600,0,3.0,TA,256300.0
27,20,RL,7200,Pave,AllPub,1Fam,5,7,TA,1951,TA,TA,900.0,GasA,900,0,2.0,TA,134800.0
28,20,RL,11478,Pave,AllPub,1Fam,8,5,Ex,2007,Gd,TA,1704.0,GasA,1704,0,3.0,TA,306000.0
29,20,RL,16321,Pave,AllPub,1Fam,5,6,TA,1957,TA,TA,1484.0,GasA,1600,0,1.0,TA,207500.0
30,30,RM,6324,Pave,AllPub,1Fam,4,6,TA,1927,TA,TA,520.0,GasA,520,0,1.0,TA,68500.0
31,70,C (all),8500,Pave,AllPub,1Fam,4,4,TA,1920,TA,Fa,649.0,GasA,649,668,1.0,Fa,40000.0
32,20,RL,8544,Pave,AllPub,1Fam,5,6,TA,1966,TA,TA,1228.0,GasA,1228,0,1.0,TA,149350.0
33,20,RL,11049,Pave,AllPub,1Fam,8,5,Ex,2007,Gd,TA,1234.0,GasA,1234,0,2.0,TA,179900.0
34,20,RL,10552,Pave,AllPub,1Fam,5,5,TA,1959,TA,TA,1398.0,GasA,1700,0,2.0,TA,165500.0
35,120,RL,7313,Pave,AllPub,TwnhsE,9,5,Ex,2005,Ex,TA,1561.0,GasA,1561,0,2.0,TA,277500.0
36,60,RL,13418,Pave,AllPub,1Fam,8,5,Ex,2004,Gd,TA,1117.0,GasA,1132,1320,3.0,TA,309000.0
37,20,RL,10859,Pave,AllPub,1Fam,5,5,Gd,1994,TA,TA,1097.0,GasA,1097,0,2.0,TA,145000.0
38,20,RL,8532,Pave,AllPub,1Fam,5,6,TA,1954,TA,TA,1297.0,GasA,1297,0,2.0,TA,153000.0
39,20,RL,7922,Pave,AllPub,1Fam,5,7,TA,1953,TA,Gd,1057.0,GasA,1057,0,1.0,TA,109000.0
40,90,RL,6040,Pave,AllPub,Duplex,4,5,,1955,TA,TA,0.0,GasA,1152,0,0.0,,82000.0
41,20,RL,8658,Pave,AllPub,1Fam,6,5,TA,1965,TA,TA,1088.0,GasA,1324,0,2.0,TA,160000.0
42,20,RL,16905,Pave,AllPub,1Fam,5,6,TA,1959,TA,Gd,1350.0,GasA,1328,0,1.0,TA,170000.0
43,85,RL,9180,Pave,AllPub,1Fam,5,7,Gd,1983,TA,TA,840.0,GasA,884,0,2.0,Gd,144000.0
